nombre;direccion;municipio;codigo postal;comarca;lat;lon;categorias
Institut de Ponts;av.  Pompeu Fabra;Ponts;25740;Noguera;41.9109369574;1.1878848234;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Institut Lo Pla d'Urgell;av. d' Urgell;Bellpuig;25250;Urgell;41.6297821866;1.0075880012;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Institut d'Hoteleria i Turisme;par.  Caparrella;Lleida;25192;Segrià;41.598696218;0.580219978;Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,5. Programes de formació i inserció (PFI)
Institut Torrevicens;av.  Torre Vicens;Lleida;25005;Segrià;41.6308175239;0.6286834104;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria,Educació. Formació,Ensenyaments de règim general,5. Programes de formació i inserció (PFI)
Llar d'infants de Sarroca de Lleida;"c.  Nou ""A""";Sarroca de Lleida;25175;Segrià;41.4601046364;0.5595265314;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Institut Ronda;c.  Henri Dunant;Lleida;25003;Segrià;41.617004697;0.6097589375;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Institut Alfons Costafreda;ctra. de Tarragona;Tàrrega;25300;Urgell;41.639753981;1.1389650215;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria,Educació. Formació,Ensenyaments de règim general,5. Programes de formació i inserció (PFI)
Llar d'infants El Patufet;pl.  Major;Castellnou de Seana;25265;Pla d'Urgell;41.6482688722;0.9711496267;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants La Grandalla;c.  Capdevila;Seu d'Urgell, la;25700;Alt Urgell;42.358777415;1.460002704;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants Merli;c.  Bassa;Alguaire;25125;Segrià;41.7352706852;0.5830831319;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
